,Date,Abruzzo_I_cumsum,Abruzzo_R_cumsum,Abruzzo_D_cumsum,Basilicata_I_cumsum,Basilicata_R_cumsum,Basilicata_D_cumsum,P.A. Bolzano_I_cumsum,P.A. Bolzano_R_cumsum,P.A. Bolzano_D_cumsum,Calabria_I_cumsum,Calabria_R_cumsum,Calabria_D_cumsum,Campania_I_cumsum,Campania_R_cumsum,Campania_D_cumsum,Emilia-Romagna_I_cumsum,Emilia-Romagna_R_cumsum,Emilia-Romagna_D_cumsum,Friuli Venezia Giulia_I_cumsum,Friuli Venezia Giulia_R_cumsum,Friuli Venezia Giulia_D_cumsum,Lazio_I_cumsum,Lazio_R_cumsum,Lazio_D_cumsum,Liguria_I_cumsum,Liguria_R_cumsum,Liguria_D_cumsum,Lombardia_I_cumsum,Lombardia_R_cumsum,Lombardia_D_cumsum,Marche_I_cumsum,Marche_R_cumsum,Marche_D_cumsum,Molise_I_cumsum,Molise_R_cumsum,Molise_D_cumsum,Piemonte_I_cumsum,Piemonte_R_cumsum,Piemonte_D_cumsum,Puglia_I_cumsum,Puglia_R_cumsum,Puglia_D_cumsum,Sardegna_I_cumsum,Sardegna_R_cumsum,Sardegna_D_cumsum,Sicilia_I_cumsum,Sicilia_R_cumsum,Sicilia_D_cumsum,Toscana_I_cumsum,Toscana_R_cumsum,Toscana_D_cumsum,P.A. Trento_I_cumsum,P.A. Trento_R_cumsum,P.A. Trento_D_cumsum,Umbria_I_cumsum,Umbria_R_cumsum,Umbria_D_cumsum,Valle d'Aosta_I_cumsum,Valle d'Aosta_R_cumsum,Valle d'Aosta_D_cumsum,Veneto_I_cumsum,Veneto_R_cumsum,Veneto_D_cumsum,Italy_I_cumsum,Italy_R_cumsum,Italy_D_cumsum
0,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,1,0,0,0,0,166,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,221,1,7
1,2020-02-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,1,0,1,0,0,231,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,1,311,1,10
2,2020-02-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,3,0,11,0,0,249,0,9,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,0,2,385,3,12
3,2020-02-27,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,96,0,1,0,0,0,0,3,0,19,0,0,349,40,14,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,109,0,2,588,45,17
4,2020-02-28,1,0,0,0,0,0,1,0,0,1,0,0,4,0,0,143,0,2,0,0,0,0,3,0,19,0,0,474,40,17,6,0,0,0,0,0,11,0,0,3,0,0,0,0,0,2,2,0,7,1,0,0,0,0,0,0,0,0,0,0,149,0,2,821,46,21
5,2020-02-29,2,0,0,0,0,0,1,0,0,1,0,0,13,0,0,213,0,4,0,0,0,3,3,0,38,4,0,552,40,23,11,0,0,0,0,0,11,0,0,3,0,0,0,0,0,2,2,0,10,1,0,0,0,0,0,0,0,0,0,0,189,0,2,1049,50,29
6,2020-03-01,5,0,0,0,0,0,1,0,0,1,0,0,17,0,0,277,0,8,6,0,0,3,3,0,21,4,0,887,73,24,25,0,0,0,0,0,49,0,0,3,0,0,0,0,0,7,2,0,12,1,0,0,0,0,2,0,0,0,0,0,261,0,2,1577,83,34
7,2020-03-02,5,0,0,0,0,0,1,0,0,1,0,0,17,0,0,324,0,11,9,0,0,4,3,0,18,4,0,1077,139,38,34,0,1,0,0,0,51,0,0,4,0,0,0,0,0,5,2,0,12,1,0,0,0,0,2,0,0,0,0,0,271,0,2,1835,149,52
8,2020-03-03,6,0,0,1,0,0,1,0,0,1,0,0,30,0,0,398,4,18,13,0,0,11,3,0,19,4,1,1326,139,55,59,0,2,3,0,0,56,0,0,6,0,0,1,0,0,5,2,0,18,1,0,4,0,0,8,0,0,0,0,0,297,7,3,2263,160,79
9,2020-03-04,7,0,0,1,0,0,1,0,0,1,0,0,31,0,0,516,6,22,18,0,0,27,3,0,21,4,1,1497,250,73,80,0,4,3,0,0,82,0,0,7,1,1,2,0,0,16,2,0,37,1,0,5,0,0,9,0,0,0,0,0,345,9,6,2706,276,107
10,2020-03-05,8,0,0,1,0,0,1,0,0,2,0,0,45,0,0,658,10,30,21,0,0,41,3,0,21,4,3,1777,376,98,120,0,4,7,0,0,106,0,2,12,1,1,2,0,0,16,2,0,60,1,0,7,0,0,9,0,0,2,0,0,380,17,10,3296,414,148
11,2020-03-06,9,0,0,3,0,0,4,0,0,4,0,0,57,0,0,816,17,37,28,3,0,50,3,1,24,5,3,2008,469,135,155,0,4,12,0,0,139,0,4,15,1,1,5,0,0,22,2,0,78,1,0,10,0,0,16,0,0,7,0,0,454,22,12,3916,523,197
12,2020-03-07,11,0,0,3,0,0,9,0,0,4,0,0,61,0,0,937,25,48,39,3,0,72,3,1,42,5,4,2742,524,154,201,0,6,14,0,0,202,0,5,23,1,2,5,0,0,33,2,0,112,1,0,14,0,0,24,0,0,8,0,0,505,25,13,5061,589,233
13,2020-03-08,17,0,0,4,0,0,9,0,0,9,0,0,100,1,0,1097,27,56,53,3,1,81,3,3,67,5,6,3372,550,267,265,0,7,14,0,0,355,0,5,36,1,3,11,0,0,51,2,0,165,1,0,23,0,0,26,0,0,9,0,0,623,29,18,6387,622,366
14,2020-03-09,30,0,0,5,0,0,9,0,0,9,2,0,119,1,0,1286,30,70,89,3,1,94,3,5,97,5,7,4490,646,333,313,0,10,14,0,0,337,0,13,46,1,3,19,0,0,52,2,0,206,1,1,33,0,0,28,0,0,15,0,0,694,30,20,7985,724,463
15,2020-03-10,37,0,1,7,0,0,38,0,0,11,2,0,126,1,0,1417,31,85,110,3,3,99,11,6,128,5,8,4427,896,468,381,0,13,15,0,0,436,0,17,55,1,3,20,0,0,60,2,0,260,3,1,50,2,0,37,0,0,17,0,0,783,47,26,8514,1004,631
16,2020-03-11,37,0,1,8,0,0,75,0,0,17,2,0,149,4,1,1588,38,113,110,10,6,125,19,6,181,5,8,5763,900,617,461,0,18,16,0,0,480,0,21,71,1,5,37,0,0,81,2,0,314,5,1,74,3,0,44,2,0,19,0,1,940,54,29,10590,1045,827
17,2020-03-12,78,4,2,8,0,0,103,0,1,32,1,0,174,4,1,1758,43,146,148,11,8,172,19,9,243,20,11,6896,1085,744,570,0,22,16,0,0,554,0,26,98,1,5,39,0,0,111,2,2,352,7,5,102,4,1,62,2,0,26,0,1,1297,55,32,12839,1258,1016
18,2020-03-13,83,4,2,10,0,0,123,0,2,37,1,0,213,5,2,2011,51,201,236,11,10,242,24,11,304,24,17,7732,1198,890,698,0,27,17,0,0,794,0,46,121,3,5,43,0,0,126,2,2,455,10,5,157,4,2,73,2,1,27,0,1,1453,100,42,14955,1439,1266
19,2020-03-14,106,4,2,10,0,0,170,0,3,59,1,0,243,23,6,2349,54,241,271,17,13,320,24,13,384,52,27,9059,1660,966,863,0,36,17,0,0,814,0,59,156,2,8,47,0,0,150,4,2,614,10,6,199,5,2,103,3,1,41,0,1,1775,107,55,17750,1966,1441
20,2020-03-15,128,6,3,11,0,0,199,0,5,66,1,1,296,28,9,2741,68,284,316,17,14,396,24,16,493,33,33,10043,2011,1218,1087,0,46,17,0,0,1030,0,81,212,2,16,75,0,2,179,7,2,763,10,8,367,5,6,139,3,1,56,0,1,1989,120,63,20603,2335,1809
21,2020-03-16,165,7,4,12,0,0,235,0,6,87,1,1,363,28,9,3088,88,346,346,18,22,472,32,19,575,42,50,10861,2368,1420,1185,0,57,15,5,1,1405,0,111,212,2,16,105,0,2,203,8,2,841,11,14,367,5,6,159,4,1,103,0,2,2274,130,69,23073,2749,2158
22,2020-03-17,216,7,6,20,0,0,282,1,8,112,1,1,423,28,9,3404,134,393,347,17,30,550,34,23,661,57,60,12095,2485,1640,1302,0,69,19,5,1,1764,0,133,320,2,18,115,0,2,226,8,3,1024,12,17,368,10,7,192,4,1,134,0,2,2488,136,80,26062,2941,2503
23,2020-03-18,249,7,7,27,0,0,366,1,9,126,2,1,423,28,9,3915,152,458,416,15,31,650,42,32,744,70,73,12266,3488,1959,1476,0,92,21,6,1,2187,0,154,362,2,19,132,0,2,267,12,3,1291,17,22,436,12,7,241,4,2,162,0,3,2953,167,94,28710,4025,2978
24,2020-03-19,366,8,11,37,0,0,421,1,14,164,2,3,605,30,17,4506,177,531,522,41,36,741,44,38,883,85,91,13938,3778,2168,1622,0,115,38,6,2,2754,3,175,449,4,25,204,0,2,321,15,4,1422,22,38,491,20,12,328,4,2,209,0,6,3169,200,115,33190,4440,3405
25,2020-03-20,422,10,17,52,0,0,530,1,17,201,2,4,702,30,17,5089,239,640,555,63,38,912,53,43,1001,101,119,15420,4295,2549,1844,0,137,39,6,5,3244,8,209,551,4,26,288,3,2,379,25,4,1713,33,47,600,29,13,384,4,7,257,0,7,3677,223,131,37860,5129,4032
26,2020-03-21,494,13,22,66,0,0,600,1,20,225,5,5,793,29,22,5661,329,715,666,82,42,1086,54,50,1159,125,152,17370,5050,3095,1997,2,154,47,7,7,3506,8,238,642,4,29,321,5,4,458,26,6,1905,35,72,720,34,28,447,5,10,304,1,8,4214,257,146,42681,6072,4825
27,2020-03-22,539,15,33,81,0,0,648,7,23,260,5,8,866,41,29,6390,349,816,738,89,47,1272,58,53,1351,143,171,17885,5865,3456,2231,6,184,52,7,7,4127,10,283,748,7,31,327,5,7,596,26,8,2144,42,91,885,34,35,500,5,16,354,1,9,4644,309,169,46638,7024,5476
28,2020-03-23,605,20,38,89,0,1,688,7,29,280,5,7,929,48,49,7220,423,892,771,105,54,1414,63,63,1553,159,212,18910,6075,3776,2358,8,203,50,10,7,4529,17,315,862,7,37,343,5,11,681,27,13,2301,51,109,914,68,41,556,5,16,379,2,12,4986,327,192,50418,7432,6077
29,2020-03-24,622,21,46,91,0,1,699,44,38,304,5,10,992,53,56,7711,558,985,848,80,64,1545,103,80,1692,193,231,19868,6657,4178,2497,8,231,55,10,8,5124,17,374,940,21,44,395,11,15,799,27,20,2519,51,129,975,79,56,624,5,19,379,2,19,5351,381,216,54030,8326,6820
30,2020-03-25,738,23,52,112,0,1,748,67,43,333,7,11,1072,53,74,8256,721,1077,911,158,70,1675,131,95,1826,225,254,20591,7281,4474,2639,8,287,53,12,8,5556,19,449,1023,22,48,412,12,18,936,33,25,2776,54,142,1058,90,74,686,5,19,375,2,24,5745,439,258,57521,9362,7503
31,2020-03-26,860,23,63,133,0,1,791,67,48,372,7,14,1169,58,83,8850,792,1174,954,197,72,1835,155,106,2027,260,280,22189,7839,4861,2795,9,310,81,14,8,5950,135,449,1095,22,65,462,13,19,1095,36,33,2973,95,158,1094,117,86,770,12,20,378,2,28,6140,508,287,62013,10361,8165
32,2020-03-27,925,24,68,147,1,3,833,110,60,469,7,18,1292,64,98,9361,960,1267,1027,214,76,2013,164,118,2060,305,331,23895,8001,5402,2850,10,336,86,14,9,6347,176,569,1236,29,69,496,13,21,1158,53,39,3170,103,177,1164,125,102,824,39,21,413,2,37,6648,536,313,66414,10950,9134
33,2020-03-28,1027,30,76,178,1,3,929,116,64,523,11,21,1407,76,109,9964,1075,1344,1120,229,87,2181,200,124,2086,378,358,24509,8962,5944,2999,10,364,98,16,9,6851,203,617,1358,29,71,569,29,26,1242,60,57,3511,108,198,1234,151,120,898,43,28,468,2,41,6913,655,362,70065,12384,10023
34,2020-03-29,1169,36,88,197,1,4,1034,116,64,577,12,25,1556,86,117,10535,1141,1443,1141,241,98,2362,208,136,2279,420,377,25392,9255,6360,3160,12,386,100,18,9,7268,254,684,1432,31,86,582,29,27,1330,65,65,3786,121,215,1293,172,129,897,95,31,539,2,43,7251,715,392,73880,13030,10779
35,2020-03-30,1169,74,102,208,1,5,1098,153,74,602,14,31,1739,88,125,10766,1227,1538,1109,285,107,2497,267,150,2383,437,397,25006,10337,6818,3251,16,417,107,18,9,7655,308,749,1585,36,91,622,32,28,1408,71,76,4050,131,231,1357,178,147,834,184,33,518,16,50,7564,747,413,75528,14620,11591
36,2020-03-31,1191,95,115,216,3,7,1142,153,76,606,17,36,1871,88,133,10953,1477,1644,1160,320,113,2642,291,162,2508,480,428,25124,10885,7199,3352,21,452,117,18,9,8082,365,854,1654,39,110,657,34,31,1492,74,81,4226,138,244,1389,193,164,851,190,37,552,20,56,7850,828,477,77635,15729,12428
37,2020-04-01,1211,102,123,225,3,9,1112,190,116,610,21,38,1976,107,148,11489,1566,1732,1206,357,122,2758,337,169,2645,555,460,25765,11415,7593,3456,29,477,131,19,10,8470,439,886,1756,61,129,675,36,34,1544,86,88,4432,182,253,1483,214,173,864,194,37,540,32,59,8224,902,499,80572,16847,13155
